id,date,estimated_arrival_time,scheduled_arrival_time,terminal,gate,baggage,plane
MQ3825,2018-04-24,09:10 am,09:09 am,8,32G,9,Embraer
B654,2018-04-24,09:01 am,09:09 am,5,12,,Airbus
EY103,2018-04-24,09:36 am,09:10 am,4,-,,Airbus
B6326,2018-04-24,08:52 am,09:13 am,5,16,,Airbus
OH5080,2018-04-24,09:33 am,09:22 am,8,32I,9,Canadair
B62101,2018-04-24,09:24 am,09:24 am,5,6,,Embraer
B62317,2018-04-24,09:33 am,09:34 am,5,4,,Embraer
AA338,2018-04-24,09:38 am,09:43 am,8,1,7,Boeing
9E5141,2018-04-24,09:34 am,09:49 am,4,B45,T4,Canadair
B62232,2018-04-24,09:47 am,09:54 am,5,5,,Airbus
AR1300,2018-04-24,09:30 am,09:55 am,7,-,,Airbus
DL2058,2018-04-24,09:43 am,09:56 am,2,C63,E1,Airbus
DL391,2018-04-24,09:39 am,09:56 am,4,B26,T4,Boeing
AA942,2018-04-24,09:59 am,10:01 am,8,6,8,Boeing
DL312,2018-04-24,09:49 am,10:02 am,4,B22,T4,Boeing
MQ3713,2018-04-24,10:03 am,10:03 am,8,32H,9,Embraer
DL2464,2018-04-24,09:55 am,10:04 am,4,B41,T4,Boeing
DL1303,2018-04-24,09:51 am,10:07 am,4,B24,T4,Airbus
NH110,2018-04-24,10:04 am,10:15 am,7,-,,Boeing
B6794,2018-04-24,10:19 am,10:19 am,5,27,,Airbus
DL2185,2018-04-24,10:14 am,10:23 am,2,C66,E2,Boeing
B6315,2018-04-24,10:24 am,10:24 am,5,2,,Embraer
9E5189,2018-04-24,10:26 am,10:26 am,4,B46,T4,Canadair
DL2350,2018-04-24,10:29 am,10:29 am,2,C68,F,Airbus
9E5220,2018-04-24,10:33 am,10:33 am,4,B49,T4,Canadair
JL6,2018-04-24,10:13 am,10:35 am,1,-,,Boeing
9E3951,2018-04-24,10:38 am,10:38 am,4,B42,T4,Canadair
SY243,2018-04-24,10:35 am,10:38 am,4,-,,Boeing
9E5057,2018-04-24,10:39 am,10:39 am,4,B55,T4,Canadair
DL2032,2018-04-24,10:37 am,10:40 am,2,C61,E1,Boeing
B61633,2018-04-24,10:43 am,10:43 am,5,1,,Embraer
5K7013,2018-04-24,10:45 am,10:45 am,1,-,,Airbus
BR30,2018-04-24,10:53 am,10:45 am,1,-,,Boeing
TK3,2018-04-24,10:50 am,10:50 am,1,-,,Airbus
B61984,2018-04-24,10:44 am,10:52 am,5,12,,Airbus
AA1443,2018-04-24,11:08 am,10:54 am,8,46,9,Boeing
DL2951,2018-04-24,10:49 am,11:00 am,4,B32,T4,Airbus
DL326,2018-04-24,10:47 am,11:00 am,4,B37,T4,Boeing
AA2740,2018-04-24,11:04 am,11:04 am,8,35,8,Airbus
SQ26,2018-04-24,11:11 am,11:10 am,4,-,,Airbus
BA117,2018-04-24,11:09 am,11:10 am,7,-,,Boeing
B6485,2018-04-24,11:12 am,11:12 am,5,3,,Embraer
AF22,2018-04-24,10:53 am,11:20 am,1,-,,Boeing
AA291,2018-04-24,10:55 am,11:20 am,8,12,7,Boeing
KE81,2018-04-24,11:20 am,11:20 am,1,-,,Airbus
MQ4057,2018-04-24,11:24 am,11:24 am,8,32G,9,Embraer
B62502,2018-04-24,11:24 am,11:30 am,5,9,,Airbus
MQ3826,2018-04-24,11:34 am,11:34 am,8,32H,9,Embraer
9E4098,2018-04-24,11:41 am,11:41 am,4,B43,T4,Canadair
VS3,2018-04-24,11:45 am,11:45 am,4,-,,Airbus
OZ222,2018-04-24,11:50 am,11:50 am,4,-,,Airbus
SV23,2018-04-24,,,-,-,,Boeing
B6886,2018-04-24,11:53 am,11:53 am,5,7,,Embraer
9E3292,2018-04-24,11:56 am,11:56 am,4,B45,T4,Canadair
